header,taxon,protein,sp,description,vog
1933063.YP_009832138.1 RNA polymerase sigma factor [Bacillus phage vB_BsuM-Goe3],1933063,YP_009832138.1,Bacillus phage vB_BsuM-Goe3, RNA polymerase sigma factor,VOG00050
1962671.YP_009600003.1 subfamily RNA polymerase sigma-70 subunit [Serratia phage BF],1962671,YP_009600003.1,Serratia phage BF, subfamily RNA polymerase sigma-70 subunit,VOG00050
1978922.YP_009832993.1 putative RNA polymerase sigma factor [Aeromonas phage phiA8-29],1978922,YP_009832993.1,Aeromonas phage phiA8-29, putative RNA polymerase sigma factor,VOG00050
1985178.YP_009626754.1 sigma70 protein [Bacillus virus BM15],1985178,YP_009626754.1,Bacillus virus BM15, sigma70 protein,VOG00050
1985178.YP_009626755.1 RNA polymerase sigma factor [Bacillus virus BM15],1985178,YP_009626755.1,Bacillus virus BM15, RNA polymerase sigma factor,VOG00050
2052742.YP_009624108.1 Group 2 RNA polymerase sigma factor @ RNA polymerase sigma factor RpoD [Yersinia phage fHe-Yen9-04],2052742,YP_009624108.1,Yersinia phage fHe-Yen9-04, Group 2 RNA polymerase sigma factor @ RNA polymerase sigma factor RpoD,VOG00050
2053653.YP_009816510.1 putative RNA polymerase sigma-70 factor [Synechococcus phage S-CBWM1],2053653,YP_009816510.1,Synechococcus phage S-CBWM1, putative RNA polymerase sigma-70 factor,VOG00050
2059881.YP_009796816.1 RNA polymerase sigma factor [Streptomyces phage Attoomi],2059881,YP_009796816.1,Streptomyces phage Attoomi, RNA polymerase sigma factor,VOG00050
2070190.YP_010080215.1 sigma-70 family RNA polymerase sigma factor [Paenibacillus phage Dragolir],2070190,YP_010080215.1,Paenibacillus phage Dragolir, sigma-70 family RNA polymerase sigma factor,VOG00050
207656.YP_008318421.1 putative sigma factor [Bacillus phage phiNIT1],207656,YP_008318421.1,Bacillus phage phiNIT1, putative sigma factor,VOG00050
2267403.YP_009838385.1 RpoD [Vibrio phage YC],2267403,YP_009838385.1,Vibrio phage YC, RpoD,VOG00050
2283013.YP_009840636.1 putative RNA polymerase sigma factor 2 [Bacillus phage BSP38],2283013,YP_009840636.1,Bacillus phage BSP38, putative RNA polymerase sigma factor 2,VOG00050
2584487.YP_009845788.1 RNA polymerase sigma factor [Vibrio phage VAP7],2584487,YP_009845788.1,Vibrio phage VAP7, RNA polymerase sigma factor,VOG00050
2593638.YP_009850103.1 RNA polymerase sigma factor [Bacillus phage vB_BmeM-Goe8],2593638,YP_009850103.1,Bacillus phage vB_BmeM-Goe8, RNA polymerase sigma factor,VOG00050
2772511.YP_009595053.1 subfamily RNA polymerase sigma-70 subunit [Pectinobacterium phage vB_PcaM_CBB],2772511,YP_009595053.1,Pectinobacterium phage vB_PcaM_CBB, subfamily RNA polymerase sigma-70 subunit,VOG00050
2884420.YP_009015380.1 gp69 [Bacillus phage G],2884420,YP_009015380.1,Bacillus phage G, gp69,VOG00050
2884427.YP_002300332.1 gp2.21 [Bacillus phage SPO1],2884427,YP_002300332.1,Bacillus phage SPO1, gp2.21,VOG00050
2885908.YP_460001.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage WBeta],2885908,YP_460001.1,Bacillus phage WBeta, sigma-70 family RNA polymerase sigma factor,VOG00050
345922.YP_512346.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage Fah],345922,YP_512346.1,Bacillus phage Fah, sigma-70 family RNA polymerase sigma factor,VOG00050
347962.YP_338218.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage Gamma],347962,YP_338218.1,Bacillus phage Gamma, sigma-70 family RNA polymerase sigma factor,VOG00050
447909.YP_001285848.1 putative DNA-directed RNA polymerase specialized sigma subunit [Geobacillus virus E2],447909,YP_001285848.1,Geobacillus virus E2, putative DNA-directed RNA polymerase specialized sigma subunit,VOG00050
57477.YP_006907438.1 RNA polymerase sigma-F factor [Bacillus phage Bastille],57477,YP_006907438.1,Bacillus phage Bastille, RNA polymerase sigma-F factor,VOG00050
"584892.YP_009031481.1 RNA polymerase sigma-70 factor, sigma-B/F/G subfamily [Bacillus phage Bcp1]",584892,YP_009031481.1,Bacillus phage Bcp1," RNA polymerase sigma-70 factor, sigma-B/F/G subfamily",VOG00050
"584892.YP_009031482.1 RNA polymerase sigma-70 factor, sigma-B/F/G subfamily [Bacillus phage Bcp1]",584892,YP_009031482.1,Bacillus phage Bcp1," RNA polymerase sigma-70 factor, sigma-B/F/G subfamily",VOG00050
658401.YP_003084257.1 RNAP sigma factor [Cyanophage PSS2],658401,YP_003084257.1,Cyanophage PSS2, RNAP sigma factor,VOG00050
753084.YP_004421515.1 RNA polymerase sigma factor [Synechococcus phage S-CBS2],753084,YP_004421515.1,Synechococcus phage S-CBS2, RNA polymerase sigma factor,VOG00050
753085.YP_004421751.1 group 2 RNA polymerase sigma factor [Synechococcus phage S-CBS3],753085,YP_004421751.1,Synechococcus phage S-CBS3, group 2 RNA polymerase sigma factor,VOG00050
754053.YP_008129905.1 RNA polymerase sigma factor [Paenibacillus phage PG1],754053,YP_008129905.1,Paenibacillus phage PG1, RNA polymerase sigma factor,VOG00050
764595.YP_004957160.1 gp145 [Bacillus phage W.Ph],764595,YP_004957160.1,Bacillus phage W.Ph, gp145,VOG00050
871584.YP_003856854.1 putative RNA polymerase sigma factor [Clostridium phage phiCTP1],871584,YP_003856854.1,Clostridium phage phiCTP1, putative RNA polymerase sigma factor,VOG00050
889953.YP_007674984.1 RNA polymerase sigma factor RpoD [Cyanophage KBS-S-2A],889953,YP_007674984.1,Cyanophage KBS-S-2A, RNA polymerase sigma factor RpoD,VOG00050
909297.YP_004934627.1 group2 RNA polymerase sigma factor [Synechococcus phage S-CBS1],909297,YP_004934627.1,Synechococcus phage S-CBS1, group2 RNA polymerase sigma factor,VOG00050
941058.YP_007003377.1 RNA polymerase sigma factor [Bacillus phage SP-10],941058,YP_007003377.1,Bacillus phage SP-10, RNA polymerase sigma factor,VOG00050
2510464.YP_009882647.1 RNA polymerase sigma factor RpoD [Klebsiella phage ST13-OXA48phi12.1],2510464,YP_009882647.1,Klebsiella phage ST13-OXA48phi12.1, RNA polymerase sigma factor RpoD,VOG00050
2510480.YP_009882596.1 RNA polymerase sigma factor RpoD [Klebsiella phage ST147-VIM1phi7.1],2510480,YP_009882596.1,Klebsiella phage ST147-VIM1phi7.1, RNA polymerase sigma factor RpoD,VOG00050
1118063.YP_006560728.1 sigma-70 family RNA polymerase sigma factor [Staphylococcus phage SpaA1],1118063,YP_006560728.1,Staphylococcus phage SpaA1, sigma-70 family RNA polymerase sigma factor,VOG00050
1118064.YP_009829851.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage BceA1],1118064,YP_009829851.1,Bacillus phage BceA1, sigma-70 family RNA polymerase sigma factor,VOG00050
1124578.YP_007004340.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage phIS3501],1124578,YP_007004340.1,Bacillus phage phIS3501, sigma-70 family RNA polymerase sigma factor,VOG00050
1194641.YP_006488705.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage BtCS33],1194641,YP_006488705.1,Bacillus phage BtCS33, sigma-70 family RNA polymerase sigma factor,VOG00050
1357713.YP_009009184.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage phiCM3],1357713,YP_009009184.1,Bacillus phage phiCM3, sigma-70 family RNA polymerase sigma factor,VOG00050
2719593.YP_010106443.1 hypothetical protein [Enterococcus phage nattely],2719593,YP_010106443.1,Enterococcus phage nattely, hypothetical protein,VOG00050
2719594.YP_010106545.1 hypothetical protein [Enterococus phage vipetofem],2719594,YP_010106545.1,Enterococus phage vipetofem, hypothetical protein,VOG00050
2763102.YP_010113689.1 sigma-70 family RNA polymerase sigma factor [Enterococcus phage 9183],2763102,YP_010113689.1,Enterococcus phage 9183, sigma-70 family RNA polymerase sigma factor,VOG00050
1237159.YP_006906108.1 RNA polymerase ECF sigma factor [Escherichia phage NJ01],1237159,YP_006906108.1,Escherichia phage NJ01, RNA polymerase ECF sigma factor,VOG00050
1436889.YP_009008726.1 hypothetical protein [Escherichia phage KBNP1711],1436889,YP_009008726.1,Escherichia phage KBNP1711, hypothetical protein,VOG00050
1519788.YP_009152883.1 RNA polymerase ECF sigma factor [Escherichia phage vB_EcoP_SU10],1519788,YP_009152883.1,Escherichia phage vB_EcoP_SU10, RNA polymerase ECF sigma factor,VOG00050
1598146.YP_009208199.1 hypothetical protein [Escherichia phage 172-1],1598146,YP_009208199.1,Escherichia phage 172-1, hypothetical protein,VOG00050
1604355.YP_006908882.1 hypothetical protein [Escherichia phage ECBP2],1604355,YP_006908882.1,Escherichia phage ECBP2, hypothetical protein,VOG00050
2679905.YP_001671781.1 RNA polymerase ECF sigma factor [Escherichia phage phiEco32],2679905,YP_001671781.1,Escherichia phage phiEco32, RNA polymerase ECF sigma factor,VOG00050
